w	t	b_mse	bp_mse	bp_rs_mse	b_relerror	bp_relerror	bp_rs_relerror	b_bias	bp_bias	bp_rs_bias
3.16e-09	0.1	0.002059938398930887	0.002059030298503531	0.0020589317528121936	0.03844342820639051	0.038428514953642454	0.0020589317528121936	0.008726687834861156	0.008649770956418017	0.008653084720673776
1e-08	1e-06	0.3029978771759022	0.0019452707401508454	0.0019452623497620881	0.41615869658952115	0.03514317043130806	0.0019452623497620881	-0.41383048431575836	-0.0010568845603999497	-0.0010562962345583029
1e-08	3.16e-06	0.27942334651267153	0.0019684339313168773	0.0019683589624664133	0.4038551209831682	0.03485063077590299	0.0019683589624664133	-0.4036856490621644	-0.0010443466607613207	-0.0010384954678783749
1e-08	1e-05	0.24167542464452182	0.002010425101993164	0.0020105959391726394	0.3755362255619088	0.03643254170354858	0.0020105959391726394	-0.3731247780527071	0.004503305605610655	0.004561136308601107
1e-08	3.16e-05	0.20519016543949842	0.0021288588198225943	0.0021221276005375794	0.3420100338265329	0.03666351203234669	0.0021221276005375794	-0.3423313342823919	-0.002918801761443832	-0.002365580172664116
1e-08	0.0001	0.15092457495436282	0.00199976132300607	0.0018518351599519135	0.28915107268248924	0.0354390984411841	0.0018518351599519135	-0.2884105515291898	-0.008192124414081809	-0.0034326954683241797
1e-08	0.000316	0.09170421224387508	0.007745216450362545	0.0028011656303942338	0.2275093300853532	0.06491339140269156	0.0028011656303942338	-0.22402819529327384	-0.052981809996212485	-0.026479410894998237
1e-08	0.001	0.03670896390600423	0.026388791870315457	0.011075277148781973	0.15139748961095867	0.12660130814314333	0.011075277148781973	-0.13990272785029007	-0.11552092630151374	-0.08259339719623428
1e-08	0.00316	0.004341865383497473	0.004345439817920562	0.004081447312640222	0.05986448195050235	0.05989228888345811	0.004081447312640222	-0.03976003180620091	-0.03981116990637544	-0.03875745811312717
1e-08	0.01	0.0019058943269169486	0.0019055292134836027	0.001908462930615	0.041459242144355396	0.041453058516166714	0.001908462930615	0.004843569743083059	0.0048012573296795525	0.004797199029986545
1e-08	0.0316	0.002282084491614361	0.0022796659386141835	0.002279368634470062	0.04639799041999211	0.046369457243048175	0.002279368634470062	0.02056646276065958	0.020484180326574574	0.020504202096092196
1e-08	0.1	0.002941723313179423	0.0029272962022861425	0.002928772905407146	0.05361724639077289	0.05345828829599981	0.002928772905407146	0.03525182708977474	0.035019550960666966	0.03502931261663603
3.16e-08	1e-06	0.5000605007095097	0.0020554369557117423	0.0020554042333299194	0.6020680783418245	0.035870234902599545	0.0020554042333299194	-0.6020138810099401	-0.00147790067924095	-0.0014760415783185788
3.16e-08	3.16e-06	0.49449067888152226	0.001953703169006644	0.001953703368162096	0.6154605766176363	0.03526013467678978	0.001953703368162096	-0.6134741376665529	0.002178028481687363	0.0021965173876447456
3.16e-08	1e-05	0.4784901242897812	0.002064978264028632	0.0020578955229689456	0.606182064340884	0.035877339913467386	0.0020578955229689456	-0.6084997458344074	-0.002776985750803526	-0.0025943262108590434
3.16e-08	3.16e-05	0.4282122714948549	0.00209877697926532	0.002149091024120972	0.5761630792531421	0.03690203299442605	0.002149091024120972	-0.5740816998055996	-0.00033867735894525905	0.0014014193504731892
3.16e-08	0.0001	0.37035070397998127	0.003377847428428233	0.0021831901921000596	0.5301144413133762	0.04523249928735288	0.0021831901921000596	-0.5280046697597184	-0.025299858703440405	-0.010865999822485664
3.16e-08	0.000316	0.2735455486097781	0.03977643470096687	0.009783356602948996	0.46486076320828873	0.15142845601673266	0.009783356602948996	-0.45083369899052667	-0.14405805631483168	-0.07986123961686929
3.16e-08	0.001	0.13509675256139178	0.10588747496321904	0.06607307970701173	0.3632186491451339	0.31567219268118296	0.06607307970701173	-0.3154095975543201	-0.27309361074874355	-0.2260803075450814
3.16e-08	0.00316	0.028012511944782832	0.02803789644774519	0.027233137475180847	0.19564309169674368	0.19578476635202302	0.027233137475180847	-0.13366323401901878	-0.13378258081167144	-0.1327524877238766
3.16e-08	0.01	0.00182530353836963	0.0018258119137083645	0.0018220573963531957	0.054158672725393875	0.054163776620677125	0.0018220573963531957	-0.011693343587309678	-0.011801170437095911	-0.011828576210426283
3.16e-08	0.0316	0.0029009718071962435	0.0028837624376858765	0.0028931689808107007	0.07483766427345494	0.0746156492177294	0.0028931689808107007	0.03822832121268509	0.03800529907415976	0.03804905284785757
3.16e-08	0.1	0.008257850657467708	0.008151017175376384	0.008155619760760346	0.14216780080132904	0.14130306992398137	0.008155619760760346	0.08544792649001196	0.0848128239003587	0.08483744828858765
